metric,Bias (RMSD of all gridpoints),Bias (RMSD of all gridpoints),Mean change (Future - Reference),Mean change (Future - Reference)
variable,Temperature (K),Precipitation (kg/m2/s),Temperature (K),Precipitation (kg/m2/s)
dataset,,,,
CMIP5_ACCESS1-0_r1i1p1,3.19E+00,1.96E-05,2.36E+00,8.00E-09
CMIP5_ACCESS1-3_r1i1p1,3.11E+00,1.93E-05,2.24E+00,6.27E-07
CMIP5_BNU-ESM_r1i1p1,4.08E+00,1.87E-05,2.44E+00,2.96E-08
CMIP5_CCSM4_r1i1p1,3.12E+00,1.69E-05,1.95E+00,-1.92E-07
CMIP5_CCSM4_r2i1p1,3.23E+00,1.73E-05,1.65E+00,6.00E-08
CMIP5_CCSM4_r3i1p1,3.07E+00,1.71E-05,1.64E+00,-4.01E-08
CMIP5_CCSM4_r4i1p1,3.07E+00,1.71E-05,1.75E+00,-2.17E-07
CMIP5_CCSM4_r5i1p1,3.02E+00,1.70E-05,1.81E+00,4.64E-09
CMIP5_CCSM4_r6i1p1,3.06E+00,1.71E-05,1.72E+00,-3.31E-08
CMIP5_CESM1-BGC_r1i1p1,3.08E+00,1.69E-05,1.76E+00,1.99E-07
CMIP5_CESM1-CAM5_r1i1p1,3.04E+00,1.70E-05,2.55E+00,9.20E-07
CMIP5_CESM1-CAM5_r2i1p1,2.95E+00,1.73E-05,2.14E+00,5.70E-07
CMIP5_CESM1-CAM5_r3i1p1,2.87E+00,1.74E-05,2.29E+00,9.60E-07
CMIP5_CESM1-WACCM_r2i1p1,3.91E+00,1.70E-05,2.04E+00,-1.21E-07
CMIP5_CESM1-WACCM_r3i1p1,3.73E+00,1.67E-05,1.91E+00,-5.04E-08
CMIP5_CESM1-WACCM_r4i1p1,3.79E+00,1.69E-05,1.87E+00,-1.45E-08
CMIP5_CMCC-CESM_r1i1p1,5.66E+00,1.76E-05,2.73E+00,1.39E-06
CMIP5_CMCC-CMS_r1i1p1,4.37E+00,1.76E-05,2.53E+00,3.20E-07
CMIP5_CMCC-CM_r1i1p1,5.48E+00,1.78E-05,2.70E+00,6.43E-07
CMIP5_CNRM-CM5_r10i1p1,3.38E+00,1.76E-05,1.55E+00,4.30E-07
CMIP5_CNRM-CM5_r1i1p1,3.46E+00,1.75E-05,1.84E+00,7.39E-07
CMIP5_CNRM-CM5_r2i1p1,3.35E+00,1.75E-05,1.77E+00,7.60E-07
CMIP5_CNRM-CM5_r4i1p1,3.45E+00,1.75E-05,1.78E+00,6.67E-07
CMIP5_CNRM-CM5_r6i1p1,3.41E+00,1.75E-05,1.98E+00,7.19E-07
CMIP5_CSIRO-Mk3-6-0_r10i1p1,6.16E+00,1.77E-05,2.42E+00,-1.45E-07
CMIP5_CSIRO-Mk3-6-0_r1i1p1,5.96E+00,1.80E-05,1.84E+00,-2.70E-07
CMIP5_CSIRO-Mk3-6-0_r2i1p1,5.88E+00,1.81E-05,2.03E+00,5.43E-09
CMIP5_CSIRO-Mk3-6-0_r3i1p1,5.75E+00,1.80E-05,2.03E+00,-1.97E-07
CMIP5_CSIRO-Mk3-6-0_r4i1p1,6.47E+00,1.82E-05,2.27E+00,-3.53E-08
CMIP5_CSIRO-Mk3-6-0_r5i1p1,6.48E+00,1.79E-05,2.34E+00,3.63E-07
CMIP5_CSIRO-Mk3-6-0_r6i1p1,6.20E+00,1.80E-05,1.96E+00,6.24E-09
CMIP5_CSIRO-Mk3-6-0_r7i1p1,6.15E+00,1.79E-05,1.66E+00,-3.25E-07
CMIP5_CSIRO-Mk3-6-0_r8i1p1,5.85E+00,1.79E-05,1.46E+00,-2.81E-07
CMIP5_CSIRO-Mk3-6-0_r9i1p1,5.85E+00,1.80E-05,1.93E+00,-2.99E-07
CMIP5_CanESM2_r1i1p1,3.40E+00,1.72E-05,2.33E+00,6.85E-07
CMIP5_CanESM2_r2i1p1,3.34E+00,1.70E-05,2.79E+00,9.58E-07
CMIP5_CanESM2_r3i1p1,3.46E+00,1.74E-05,2.43E+00,1.15E-06
CMIP5_CanESM2_r4i1p1,3.43E+00,1.73E-05,2.61E+00,9.15E-07
CMIP5_CanESM2_r5i1p1,3.50E+00,1.73E-05,2.80E+00,8.57E-07
CMIP5_EC-EARTH_r1i1p1,2.92E+00,1.68E-05,1.52E+00,1.93E-07
CMIP5_EC-EARTH_r2i1p1,2.98E+00,1.66E-05,2.06E+00,2.03E-07
CMIP5_EC-EARTH_r6i1p1,2.81E+00,1.67E-05,1.53E+00,4.18E-07
CMIP5_EC-EARTH_r9i1p1,2.88E+00,1.68E-05,1.69E+00,3.75E-07
CMIP5_FGOALS-g2_r1i1p1,7.03E+00,1.76E-05,2.05E+00,7.06E-07
CMIP5_FGOALS-s2_r1i1p1,5.25E+00,1.93E-05,2.28E+00,8.96E-07
CMIP5_FGOALS-s2_r2i1p1,5.26E+00,1.92E-05,2.38E+00,8.51E-07
CMIP5_FGOALS-s2_r3i1p1,5.17E+00,1.92E-05,2.42E+00,7.17E-07
CMIP5_FIO-ESM_r1i1p1,3.55E+00,1.75E-05,5.42E-01,-9.29E-07
CMIP5_FIO-ESM_r2i1p1,3.53E+00,1.73E-05,4.11E-01,-8.96E-07
CMIP5_FIO-ESM_r3i1p1,3.62E+00,1.77E-05,5.94E-01,-1.06E-06
CMIP5_GFDL-CM3_r1i1p1,3.15E+00,1.70E-05,3.33E+00,1.28E-07
CMIP5_GFDL-ESM2G_r1i1p1,4.11E+00,1.68E-05,1.35E+00,1.23E-07
CMIP5_GFDL-ESM2M_r1i1p1,3.74E+00,1.71E-05,1.64E+00,2.47E-07
CMIP5_GISS-E2-H-CC_r1i1p1,3.86E+00,1.89E-05,2.05E+00,4.06E-07
CMIP5_GISS-E2-H_r1i1p1,3.82E+00,1.95E-05,2.22E+00,4.90E-07
CMIP5_GISS-E2-H_r1i1p2,3.88E+00,1.98E-05,2.18E+00,4.87E-07
CMIP5_GISS-E2-H_r1i1p3,3.62E+00,1.98E-05,2.62E+00,1.05E-06
CMIP5_GISS-E2-H_r2i1p1,3.70E+00,1.96E-05,2.51E+00,1.26E-06
CMIP5_GISS-E2-H_r2i1p3,3.77E+00,1.96E-05,2.90E+00,1.31E-06
CMIP5_GISS-E2-R-CC_r1i1p1,4.33E+00,1.83E-05,1.81E+00,5.09E-07
CMIP5_GISS-E2-R_r1i1p1,4.09E+00,1.84E-05,1.85E+00,2.23E-07
CMIP5_GISS-E2-R_r1i1p2,4.49E+00,1.84E-05,2.16E+00,6.89E-07
CMIP5_GISS-E2-R_r1i1p3,4.32E+00,1.82E-05,2.37E+00,8.84E-07
CMIP5_GISS-E2-R_r2i1p1,4.17E+00,1.85E-05,1.75E+00,-1.12E-07
CMIP5_GISS-E2-R_r2i1p3,4.24E+00,1.82E-05,2.26E+00,4.32E-07
CMIP5_HadGEM2-AO_r1i1p1,3.18E+00,1.93E-05,2.20E+00,-3.52E-07
CMIP5_HadGEM2-CC_r1i1p1,3.79E+00,1.88E-05,3.20E+00,2.23E-07
CMIP5_HadGEM2-CC_r2i1p1,3.94E+00,1.92E-05,3.01E+00,5.25E-07
CMIP5_HadGEM2-CC_r3i1p1,3.49E+00,1.93E-05,2.39E+00,-3.15E-07
CMIP5_HadGEM2-ES_r1i1p1,3.15E+00,1.86E-05,2.67E+00,3.88E-08
CMIP5_HadGEM2-ES_r2i1p1,3.16E+00,1.90E-05,2.96E+00,1.01E-07
CMIP5_HadGEM2-ES_r3i1p1,3.13E+00,1.87E-05,2.60E+00,-2.97E-07
CMIP5_HadGEM2-ES_r4i1p1,3.19E+00,1.88E-05,2.72E+00,-1.73E-07
CMIP5_IPSL-CM5A-LR_r1i1p1,5.17E+00,1.83E-05,3.15E+00,2.88E-07
CMIP5_IPSL-CM5A-LR_r2i1p1,4.56E+00,1.80E-05,2.77E+00,2.54E-07
CMIP5_IPSL-CM5A-LR_r3i1p1,5.02E+00,1.83E-05,3.24E+00,2.28E-07
CMIP5_IPSL-CM5A-LR_r4i1p1,4.96E+00,1.82E-05,2.96E+00,1.18E-07
CMIP5_IPSL-CM5A-MR_r1i1p1,3.46E+00,1.79E-05,2.44E+00,-2.60E-07
CMIP5_IPSL-CM5B-LR_r1i1p1,8.33E+00,1.91E-05,3.16E+00,7.11E-07
CMIP5_MIROC-ESM-CHEM_r1i1p1,3.41E+00,1.75E-05,3.10E+00,1.18E-06
CMIP5_MIROC-ESM_r1i1p1,3.41E+00,1.73E-05,3.14E+00,1.46E-06
CMIP5_MIROC5_r1i1p1,3.57E+00,1.78E-05,2.18E+00,-4.43E-08
CMIP5_MIROC5_r2i1p1,3.68E+00,1.78E-05,2.19E+00,1.60E-07
CMIP5_MIROC5_r3i1p1,3.52E+00,1.80E-05,2.06E+00,-9.26E-08
CMIP5_MPI-ESM-LR_r1i1p1,2.97E+00,1.76E-05,1.75E+00,-1.32E-07
CMIP5_MPI-ESM-LR_r2i1p1,3.01E+00,1.78E-05,1.84E+00,-5.43E-07
CMIP5_MPI-ESM-LR_r3i1p1,2.94E+00,1.76E-05,1.85E+00,-1.14E-07
CMIP5_MPI-ESM-MR_r1i1p1,2.99E+00,1.77E-05,1.55E+00,-5.35E-08
CMIP5_MRI-CGCM3_r1i1p1,3.99E+00,1.77E-05,2.00E+00,8.27E-07
CMIP5_MRI-ESM1_r1i1p1,3.64E+00,1.73E-05,1.83E+00,6.59E-07
CMIP5_NorESM1-ME_r1i1p1,3.17E+00,1.62E-05,2.07E+00,1.67E-07
CMIP5_NorESM1-M_r1i1p1,3.23E+00,1.64E-05,1.97E+00,2.70E-07
CMIP5_bcc-csm1-1-m_r1i1p1,4.10E+00,1.84E-05,1.97E+00,3.82E-07
CMIP5_bcc-csm1-1_r1i1p1,4.11E+00,1.79E-05,2.22E+00,3.00E-07
CMIP5_inmcm4_r1i1p1,3.88E+00,1.80E-05,1.19E+00,-1.53E-07
CMIP6_ACCESS-CM2_r1i1p1f1,3.75E+00,1.77E-05,2.87E+00,6.63E-07
CMIP6_ACCESS-CM2_r2i1p1f1,3.38E+00,1.78E-05,2.63E+00,5.19E-07
CMIP6_ACCESS-CM2_r3i1p1f1,3.43E+00,1.77E-05,2.42E+00,4.69E-07
CMIP6_ACCESS-ESM1-5_r10i1p1f1,3.00E+00,1.96E-05,2.90E+00,5.26E-07
CMIP6_ACCESS-ESM1-5_r1i1p1f1,3.01E+00,1.96E-05,2.63E+00,-1.39E-07
CMIP6_ACCESS-ESM1-5_r2i1p1f1,3.08E+00,1.96E-05,2.53E+00,5.51E-07
CMIP6_ACCESS-ESM1-5_r3i1p1f1,2.93E+00,1.93E-05,2.63E+00,4.69E-07
CMIP6_ACCESS-ESM1-5_r4i1p1f1,3.04E+00,1.98E-05,2.11E+00,-1.41E-07
CMIP6_ACCESS-ESM1-5_r5i1p1f1,3.05E+00,1.94E-05,2.95E+00,4.98E-07
CMIP6_ACCESS-ESM1-5_r6i1p1f1,3.11E+00,1.95E-05,2.66E+00,3.72E-07
CMIP6_ACCESS-ESM1-5_r7i1p1f1,3.01E+00,1.94E-05,2.60E+00,8.38E-08
CMIP6_ACCESS-ESM1-5_r8i1p1f1,2.99E+00,1.96E-05,2.60E+00,3.38E-08
CMIP6_ACCESS-ESM1-5_r9i1p1f1,3.07E+00,1.93E-05,3.03E+00,2.85E-07
CMIP6_AWI-CM-1-1-MR_r1i1p1f1,2.91E+00,1.80E-05,2.56E+00,7.67E-07
CMIP6_BCC-CSM2-MR_r1i1p1f1,4.22E+00,1.74E-05,2.64E+00,5.02E-07
CMIP6_CAMS-CSM1-0_r1i1p1f1,4.43E+00,1.84E-05,1.48E+00,4.89E-07
CMIP6_CAMS-CSM1-0_r2i1p1f1,4.50E+00,1.81E-05,1.45E+00,3.31E-07
CMIP6_CAS-ESM2-0_r1i1p1f1,5.79E+00,1.96E-05,2.56E+00,5.58E-07
CMIP6_CAS-ESM2-0_r3i1p1f1,5.77E+00,1.96E-05,2.78E+00,6.39E-07
CMIP6_CESM2-WACCM_r1i1p1f1,2.95E+00,1.69E-05,2.33E+00,-1.91E-07
CMIP6_CESM2-WACCM_r2i1p1f1,3.03E+00,1.72E-05,2.25E+00,-1.01E-07
CMIP6_CESM2-WACCM_r3i1p1f1,2.97E+00,1.72E-05,2.23E+00,-1.85E-07
CMIP6_CESM2_r10i1p1f1,2.90E+00,1.72E-05,2.29E+00,-2.58E-07
CMIP6_CESM2_r11i1p1f1,2.90E+00,1.71E-05,1.95E+00,-3.59E-07
CMIP6_CESM2_r4i1p1f1,2.93E+00,1.74E-05,2.15E+00,-2.78E-07
CMIP6_CIESM_r1i1p1f1,3.30E+00,2.78E-05,1.98E+00,-9.10E-10
CMIP6_CMCC-CM2-SR5_r1i1p1f1,3.20E+00,1.74E-05,2.51E+00,4.11E-07
CMIP6_CMCC-ESM2_r1i1p1f1,2.98E+00,1.71E-05,2.31E+00,-1.69E-08
CMIP6_CNRM-CM6-1-HR_r1i1p1f2,3.34E+00,1.86E-05,2.63E+00,2.92E-07
CMIP6_CNRM-CM6-1_r1i1p1f2,2.94E+00,1.85E-05,1.82E+00,-8.17E-07
CMIP6_CNRM-CM6-1_r2i1p1f2,3.07E+00,1.83E-05,2.14E+00,-2.78E-07
CMIP6_CNRM-CM6-1_r3i1p1f2,2.96E+00,1.86E-05,1.92E+00,-5.20E-07
CMIP6_CNRM-CM6-1_r4i1p1f2,2.89E+00,1.86E-05,1.92E+00,-4.80E-07
CMIP6_CNRM-CM6-1_r5i1p1f2,2.94E+00,1.84E-05,1.83E+00,-6.37E-07
CMIP6_CNRM-CM6-1_r6i1p1f2,2.88E+00,1.86E-05,1.97E+00,-4.15E-07
CMIP6_CNRM-ESM2-1_r1i1p1f2,2.90E+00,1.88E-05,1.65E+00,-2.67E-07
CMIP6_CNRM-ESM2-1_r2i1p1f2,2.96E+00,1.84E-05,1.68E+00,-3.28E-07
CMIP6_CNRM-ESM2-1_r3i1p1f2,3.58E+00,1.83E-05,2.54E+00,6.61E-07
CMIP6_CNRM-ESM2-1_r4i1p1f2,3.28E+00,1.86E-05,2.72E+00,8.73E-07
CMIP6_CNRM-ESM2-1_r5i1p1f2,2.99E+00,1.85E-05,1.98E+00,1.88E-07
CMIP6_CanESM5-CanOE_r1i1p2f1,2.96E+00,1.70E-05,3.56E+00,2.14E-06
CMIP6_CanESM5-CanOE_r2i1p2f1,3.00E+00,1.70E-05,3.41E+00,1.86E-06
CMIP6_CanESM5-CanOE_r3i1p2f1,2.95E+00,1.70E-05,3.51E+00,2.35E-06
CMIP6_CanESM5_r10i1p1f1,2.93E+00,1.70E-05,3.46E+00,2.37E-06
CMIP6_CanESM5_r10i1p2f1,2.95E+00,1.68E-05,3.47E+00,2.01E-06
CMIP6_CanESM5_r11i1p1f1,2.96E+00,1.71E-05,3.36E+00,1.72E-06
CMIP6_CanESM5_r11i1p2f1,2.93E+00,1.67E-05,3.48E+00,1.87E-06
CMIP6_CanESM5_r12i1p1f1,2.96E+00,1.69E-05,3.25E+00,1.49E-06
CMIP6_CanESM5_r12i1p2f1,2.97E+00,1.68E-05,3.42E+00,2.17E-06
CMIP6_CanESM5_r13i1p1f1,2.98E+00,1.72E-05,3.15E+00,1.66E-06
CMIP6_CanESM5_r13i1p2f1,3.02E+00,1.71E-05,3.50E+00,2.38E-06
CMIP6_CanESM5_r14i1p1f1,2.94E+00,1.70E-05,3.24E+00,1.99E-06
CMIP6_CanESM5_r14i1p2f1,3.00E+00,1.68E-05,3.52E+00,2.48E-06
CMIP6_CanESM5_r15i1p1f1,3.00E+00,1.68E-05,3.36E+00,2.02E-06
CMIP6_CanESM5_r15i1p2f1,2.88E+00,1.68E-05,3.32E+00,1.87E-06
CMIP6_CanESM5_r16i1p1f1,2.92E+00,1.66E-05,3.41E+00,1.99E-06
CMIP6_CanESM5_r16i1p2f1,2.92E+00,1.71E-05,3.36E+00,2.15E-06
CMIP6_CanESM5_r17i1p1f1,2.93E+00,1.68E-05,3.20E+00,2.01E-06
CMIP6_CanESM5_r17i1p2f1,3.00E+00,1.71E-05,3.27E+00,2.13E-06
CMIP6_CanESM5_r18i1p1f1,2.97E+00,1.70E-05,2.98E+00,1.45E-06
CMIP6_CanESM5_r18i1p2f1,2.89E+00,1.69E-05,3.39E+00,2.25E-06
CMIP6_CanESM5_r19i1p1f1,2.90E+00,1.70E-05,3.46E+00,1.84E-06
CMIP6_CanESM5_r19i1p2f1,3.11E+00,1.70E-05,3.48E+00,2.19E-06
CMIP6_CanESM5_r1i1p1f1,2.81E+00,1.69E-05,3.36E+00,2.10E-06
CMIP6_CanESM5_r1i1p2f1,2.96E+00,1.70E-05,3.56E+00,2.14E-06
CMIP6_CanESM5_r20i1p1f1,2.82E+00,1.67E-05,3.51E+00,2.15E-06
CMIP6_CanESM5_r20i1p2f1,2.98E+00,1.68E-05,3.78E+00,2.41E-06
CMIP6_CanESM5_r21i1p1f1,2.91E+00,1.70E-05,3.27E+00,2.03E-06
CMIP6_CanESM5_r21i1p2f1,2.94E+00,1.67E-05,3.53E+00,2.07E-06
CMIP6_CanESM5_r22i1p1f1,3.03E+00,1.71E-05,3.54E+00,2.12E-06
CMIP6_CanESM5_r22i1p2f1,2.89E+00,1.68E-05,3.07E+00,1.72E-06
CMIP6_CanESM5_r23i1p1f1,2.92E+00,1.68E-05,3.65E+00,1.74E-06
CMIP6_CanESM5_r23i1p2f1,2.84E+00,1.67E-05,3.66E+00,1.89E-06
CMIP6_CanESM5_r24i1p1f1,2.92E+00,1.67E-05,3.20E+00,1.89E-06
CMIP6_CanESM5_r24i1p2f1,2.93E+00,1.69E-05,3.49E+00,2.03E-06
CMIP6_CanESM5_r25i1p1f1,2.91E+00,1.69E-05,3.34E+00,1.67E-06
CMIP6_CanESM5_r25i1p2f1,2.89E+00,1.67E-05,3.47E+00,2.30E-06
CMIP6_CanESM5_r2i1p1f1,2.85E+00,1.67E-05,3.57E+00,2.44E-06
CMIP6_CanESM5_r2i1p2f1,3.00E+00,1.70E-05,3.41E+00,1.86E-06
CMIP6_CanESM5_r3i1p1f1,2.93E+00,1.70E-05,3.53E+00,2.04E-06
CMIP6_CanESM5_r3i1p2f1,2.95E+00,1.70E-05,3.51E+00,2.35E-06
CMIP6_CanESM5_r4i1p1f1,2.84E+00,1.68E-05,3.30E+00,1.95E-06
CMIP6_CanESM5_r4i1p2f1,2.98E+00,1.71E-05,3.40E+00,1.80E-06
CMIP6_CanESM5_r5i1p1f1,2.92E+00,1.68E-05,3.37E+00,2.14E-06
CMIP6_CanESM5_r5i1p2f1,2.95E+00,1.68E-05,3.55E+00,2.27E-06
CMIP6_CanESM5_r6i1p1f1,2.97E+00,1.70E-05,3.38E+00,1.80E-06
CMIP6_CanESM5_r6i1p2f1,2.88E+00,1.70E-05,3.49E+00,1.92E-06
CMIP6_CanESM5_r7i1p1f1,2.89E+00,1.68E-05,3.55E+00,2.19E-06
CMIP6_CanESM5_r7i1p2f1,3.10E+00,1.69E-05,3.58E+00,2.16E-06
CMIP6_CanESM5_r8i1p1f1,2.91E+00,1.68E-05,3.21E+00,1.94E-06
CMIP6_CanESM5_r8i1p2f1,3.00E+00,1.70E-05,3.43E+00,2.04E-06
CMIP6_CanESM5_r9i1p1f1,2.87E+00,1.68E-05,3.37E+00,2.22E-06
CMIP6_CanESM5_r9i1p2f1,2.95E+00,1.68E-05,3.39E+00,1.98E-06
CMIP6_E3SM-1-1_r1i1p1f1,3.46E+00,1.66E-05,4.61E+00,1.49E-06
CMIP6_EC-Earth3-CC_r1i1p1f1,2.83E+00,1.66E-05,1.72E+00,4.59E-07
CMIP6_EC-Earth3-Veg-LR_r1i1p1f1,3.40E+00,1.64E-05,1.93E+00,2.67E-07
CMIP6_EC-Earth3-Veg-LR_r2i1p1f1,4.32E+00,1.68E-05,3.83E+00,1.67E-06
CMIP6_EC-Earth3-Veg-LR_r3i1p1f1,5.22E+00,1.69E-05,4.06E+00,2.69E-06
